,Name ,,Bitwarden ,NordPass ,Apple iCloud Keychain ,Google Chrome ,LogMeOnce ,KeePass ,Dashlane ,RememBear ,LastPass ,1Password
, URL ,,https://bitwarden.com/, https://nordpass.com/ , https://support.apple.com/en-us/HT204085 , https://passwords.google.com/, https://www.logmeonce.com/ , https://www.logmeonce.com/ , https://www.dashlane.com/ , https://www.remembear.com/ , https://www.lastpass.com/ ,https://1password.com/
, Status,,https://bitwarden.com/help/releasenotes, , , , , , , 01/01/2024 EOL, Development has slowed,
Support,Linux,AppImage,Yes,,,,,,,,,
,Linux,.deb “no auto-updates”,Yes,,,,,,,,,
,Linux,.rpm “no auto-updates”,“10.14+”,,,,,,,,,
,Linux,snap package manager,"“Windows 8, 10, 11”",,,,,,,,,
,MacOS,.dmg,Yes,,,,,,,,,
,MacOS,App Store,Yes,,,,,,,,,
,MacOS,Homebrew,Yes,,,,,,,,,
,Windows,.exe,Yes,,,,,,,,,
,Windows,.exe portable “no auto-updates”,Yes,,,,,,,,,
,Windows,Windows Store,Yes,,,,,,,,,
,Windows,Chocolatey,Yes,,,,,,,,,
,Firefox,,Yes,,,,,,,,,
,Chrome,,Yes,,,,,,,,,
,Safari,,Yes,,,,,,,,,
,Vivaldi,,Yes,,,,,,,,,
,Opera,,Yes,,,,,,,,,
,Brave,,Yes,,,,,,,,,
,Edge,,Yes,,,,,,,,,
,Tor,,Yes,,,,,,,,,
,DuckDuckGo for Mac,,Yes,,,,,,,,,
,Android,,Yes,,,,,,,,,
,iOS,,Yes,,,,,,,,,
,Apple WatchOS,,Yes,,,,,,,,,
CLI,CLI – Linux,,Yes,,,,,,,,,
,CLI – MacOS,,Yes,,,,,,,,,
,CLI – Windows,,Yes,,,,,,,,,
,CLI – NPM,,Yes,,,,,,,,,
,Account Deletion,,Yes,,,,,,,,,
,CSV Export,,Yes,,,,,,,,,
,Security Auditing,,Yes,,,,,,,,,
Pricing,,,$0-$10/year,,,,,,,,,
